# ZAP Scan Rules for HDIM Clinical Portal
# Format: RULE_ID	THRESHOLD	[COMMENT]
#
# THRESHOLD values:
#   IGNORE - Rule will not be used
#   INFO - Informational only
#   WARN - Warning level
#   FAIL - Fail the build

# High Priority Security Checks (FAIL on detection)
10003	FAIL	# Vulnerable JS Library
10010	FAIL	# Cookie No HttpOnly Flag
10011	FAIL	# Cookie Without Secure Flag
10015	FAIL	# Re-examine Cache-control Directives (PHI compliance)
10017	FAIL	# Cross-Domain JavaScript Source File Inclusion
10021	FAIL	# X-Content-Type-Options Header Missing
10023	FAIL	# Information Disclosure - Debug Error Messages
10027	FAIL	# Information Disclosure - Suspicious Comments
10032	FAIL	# Viewstate Scanner (if applicable)
10035	FAIL	# Strict-Transport-Security Header Not Set
10037	FAIL	# Server Leaks Information via "X-Powered-By"
10040	FAIL	# Secure Pages Include Mixed Content
10043	FAIL	# User Controllable JavaScript Event (XSS)
10049	FAIL	# Content-Type Header Missing
10052	FAIL	# X-ChromeLogger-Data (XCOLD) Header Information Leak
10054	FAIL	# Cookie Without SameSite Attribute
10055	FAIL	# CSP Scanner (Content Security Policy)
10096	FAIL	# Timestamp Disclosure
10098	FAIL	# Cross-Domain Misconfiguration

# HIPAA-Specific Checks
10015	FAIL	# Cache control (HIPAA §164.312(b) - PHI cache TTL ≤ 5 minutes)
10021	FAIL	# X-Content-Type-Options (prevent MIME sniffing)
10035	FAIL	# HSTS (enforce HTTPS for PHI transmission)

# Medium Priority (WARN - non-blocking but should fix)
10009	WARN	# Insufficient Site Isolation Against Spectre Vulnerability
10020	WARN	# X-Frame-Options Header Not Set
10024	WARN	# Web Browser XSS Protection Not Enabled
10036	WARN	# HTTP Server Response Header
10061	WARN	# X-AspNet-Version Response Header
10062	WARN	# X-Runtime Response Header
10063	WARN	# X-Backend-Server Response Header

# Low Priority (INFO - informational only)
10025	INFO	# Information Disclosure - Sensitive Information in URL
10026	INFO	# HTTP Parameter Override
10028	INFO	# Open Redirect
10031	INFO	# User Controllable Charset
10038	INFO	# Content Cacheability
10039	INFO	# HTTP Only Site (recommend HTTPS)
10048	INFO	# Remote Code Execution - Shell Shock
10050	INFO	# Retrieved from Cache
10056	INFO	# X-Debug-Token Information Leak
10057	INFO	# Username Hash Found
10060	INFO	# X-Content-Duration Response Header
10070	INFO	# Server Side Include
10094	INFO	# Base64 Disclosure
10097	INFO	# Hash Disclosure
10099	INFO	# Source Code Disclosure
10105	INFO	# Weak Authentication Method

# Ignore rules that cause false positives
10016	IGNORE	# Web Browser XSS Protection Not Enabled (modern browsers handle this)
10019	IGNORE	# Content-Type Header Missing (handled by nginx)
